culture,wld.regs,wld.reg1,gene.5ht,hpp.9,hpp.z9,hpp.z8xl,hpp.z8xt,hpp.z7,hpp.z6,hpp.bst,hpp.ind.bst,gdp.who,gdp.wb,gdp.fact,pop.dens,lat.popu,lat.cent,new.gini,sexratio,sex.rat,soi.tot,soi.male,soi.fem,soi.sexd,b5m.neu,b5m.ext,b5m.ope,b5m.agr,b5m.con,acqui.m,b5s.ext,b5s.agr,b5s.con,b5s.neu,b5s.ope,b5.2.ext,b5.2.ope,b5.2.neu,b5.2.agr,b5.2.con,ind.hof,ind.suh,col.gelf,col.pron,food.spc,food.plt,food.per,pat.lei,pat.sch,pat.fil,pat.lep,pat.thu,pat.mal,pat.trp,pat.tb,pat.den,conform,wvs.ind,wvs.obe,wvs.rac,wvs.rel1,hdi,lif.sat,sat.inq,left.wri,left.gen,b5fs.n1,b5fs.n2,b5fs.n3,b5fs.n4,b5fs.n5,b5fs.n6,b5fs.e1,b5fs.e2,b5fs.e3,b5fs.e4,b5fs.e5,b5fs.e6,b5fs.o1,b5fs.o2,b5fs.o3,b5fs.o4,b5fs.o5,b5fs.o6,b5fs.a1,b5fs.a2,b5fs.a3,b5fs.a4,b5fs.a5,b5fs.a6,b5fs.c1,b5fs.c2,b5fs.c3,b5fs.c4,b5fs.c5,b5fs.c6,b5fo.n1,b5fo.n2,b5fo.n3,b5fo.n4,b5fo.n5,b5fo.n6,b5fo.e1,b5fo.e2,b5fo.e3,b5fo.e4,b5fo.e5,b5fo.e6,b5fo.o1,b5fo.o2,b5fo.o3,b5fo.o4,b5fo.o5,b5fo.o6,b5fo.a1,b5fo.a2,b5fo.a3,b5fo.a4,b5fo.a5,b5fo.a6,b5fo.c1,b5fo.c2,b5fo.c3,b5fo.c4,b5fo.c5,b5fo.c6,b5avgn,b5avge,b5avgo,b5avga,b5avgc,b5avgsd,dom.viol,free.pr,free.cl,free.2,prop.rts,indx.dem
Mali,africa,4, ,23,1.04051918989826,1.02516800059663,1.05564150956961,1.04025762460651,1.05796569185293,1.04051918989826,1.04051918989826, ,1076, , , , ,40.1, ,97.5, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,3,1,3,2,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.08,2,2,4,30,2.2
Malta,w.euras,1, ,9,-.41128910696758,-.608116333377436,-.291526764283501,-.499363259797039,-.738258673284545,-.41128910696758,-.41128910696758,18308,19072,20300,3.104,36,36,26,1.024,98.8,31.27,40.56,25.17,.64,53.1,50.5,48.5,49.4,51.6,518,50.45,49.56,45.97,52.35,50.66,100.95,99.16,105.45,98.96,97.57,59, , , , , , ,1,0,0,3,0,3,0,1,1, ,30.5,39.9,18.6,31.9,.867,8,1.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,53.1,52.9,52.2,51,51,51,51.3,49.3,49.3,51.1,50.6,48.8,48.7,48,51.4,49,49.3,50.7,46.4,51.1,51.5,48.2,51.7,48.5,51.3,50.1,50.9,48.9,51.3,49.8, , , , , , ,3.69,1,1,2,90,33.7
Marshall Isls.,ins.pac,3, , , , ,-.354220624328076,-.252063235751098,-.12543322122817,-.35,-.252063235751098, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,1,1,2,1,0, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2, , 
Martinique,s.am,6, , , , , ,.241563982437963,.288310821324345,.24,.241563982437963, , , , , , , , ,88.1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2, ,0,2,0, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Mauritania,africa,4, ,16,.305987574390701,.338360623693017,.229293442123603,.255334908145235,.304376901316164,.305987574390701,.305987574390701, ,2109,1800, , , ,39, ,102.6, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,1,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.2,5,4,9,25,4.2
Mauritius,africa,4, ,15, , ,.102297167389908,.110196308449585,-.0271058436634839,.1,.110196308449585, ,11974, , , , ,39, ,98.6, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,3,2,2,0,3,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.71,1,2,3,60,25.5
Mexico,n.am,5,51.96,16,.284789250157802,.314512508931005,.491561387482554,.55506970284118,.654067495128099,.284789250157802,.284789250157802,10158,9552,10600,1.752,19,23,47.9,.936,97.4,35.69,49.04,25.99,.99,46.2,47.8,50.2,47.5,50.7,493,50.24,49.51,45.72,48,52.26,98.04,102.46,94.2,97.01,96.42,30,4,5.71,1,4.4,13,.338461538461538,2,0,2,2,3,2,2,1,2, ,42.3,51.4,15.2,13.6,.814, ,2.5,2.5,3.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,48.7,48.3,47.1,46.4,47.7,48,45.5,48.8,51.3,49.7,49.3,51.5,50.2,49.8,46.5,49.4,50.8,49.6,49.6,46.4,47.6,49.8,46.8,48.8,51.3,49.6,50.3,52,51.7,52, , , , , , ,5.85,2,2,4,50,21.2
Micronesia,ins.pac,3, , , , ,-.0930641497846478,-.113073768321337,-.12543322122817,-.09,-.113073768321337, , , , , , , , ,98.5, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,1,2,2,2,0, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,30, 
Moldova,w.euras,1, ,10,-.3113311630744,-.495663646497609,-.179074077403673,-.37084590336295,-.42616737877672,-.3113311630744,-.3113311630744, ,1649, , , , ,33.2, ,90.8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,3,3,2,0,1,1, , ,40.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4,7,40,10.3
Monaco,w.euras,1, ,6,-.772963716011064,-.735918887466582,-.69841069945742,-.645423321613205,-.584353321400629,-.772963716011064,-.772963716011064, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,1,1,1,0,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,3, , 
Mongolia,e.euras,2, , , ,-.56355192780279, ,-.775422293564259,-.736018788676858,-.56,-.775422293564259, ,1836,2900, , , ,32.8, ,98.1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0, ,2,1,0,3,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.1,2,2,4,30,18.3
Monsterrat,n.am,5, , , , , ,-.0203538625564474,-.0172599978357996,-.02,-.0203538625564474, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2, ,0,2,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Morocco,africa,4, ,19,.592309463030666,.660472748412978,.551405566843564,.623463050682334,.733859734276112,.592309463030666,.592309463030666,4557,3887,4400,1.879,34,32,40,.994,96.9,39.31,65.58,20.06,1.24,50.5,44.8,48.5,46.1,45.5,516,48.81,48.95,45.22,50.87,49.1,93.61,97.6,101.37,95.05,90.72,46, ,6.37, ,5.8,28,.207142857142857,2,3,2,2,3,2,0,3,2, ,33.5,52.5,8.3,29.6,.631,5.6,2.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,50.6,52.3,53.3,53.8,49.9,53.4,42.6,47.5,49.4,48.5,50.8,44.7,48.5,49,45.5,51.4,49.3,45.7,46.6,44.8,42.3,50.4,49.2,45.3,43.9,47.6,43.8,44.9,45.9,48.2, , , , , , ,7.24,5,4,9,35,4
Mozambique,africa,4, ,21,.827038317252835,.785002018870531,.958533557903985,.92927710841723,.928488422965436,.827038317252835,.827038317252835, ,1215, , , , ,47.3, ,93.7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,3,3,1,3,3,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,3,4,7,30,11.3
Myanmar (Burma),e.euras,2, ,19,.641416120569453,.576177047601727,.606650556574699,.527125106898047,.459311087859722,.641416120569453,.641416120569453, , , , , , , , ,96.1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,0,3,3,2,3,0,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.19,7,7,14,5,0
Namibia,africa,4, ,12,-.0878560021270619,-.104713399889466,-.21378058145888,-.25103540452046,-.28638846346048,-.0878560021270619,-.0878560021270619,7910,6469,7400,.396, ,22,70.7,1.015,96.7, , , , , , , , , , , , , , , , , , , , , , ,4.52, , , , ,0,1,0,2,3,2,0,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,4,30,7.4
Nauru (Pleasant Isl),ins.pac,3, , , , ,-.69554281718615,-.801620816780196,-.604429353760729,-.7,-.801620816780196, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,2,2,1,0,0, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2, , 
Nepal,e.euras,2, ,14,.13686176838534,.00855340139459895,.0390269103675712,-.121587631624385,.0267883169196617,.13686176838534,.13686176838534,1277,1351,1000,2.305,27,28,47.2,1.057,98.9, , , , , , , , , , , , , , , , , , , , , ,3, , , , , ,3,0,0,3,1,1,0,3,3, , , , , ,.526, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.36,5,4,9,30,11.3
Netherlands,w.euras,1,42.72,5,-.87407402752855,-.849667987923754,-.812159799914591,-.775422293564259,-.736018788676858,-.87407402752855,-.87407402752855,31143,31749,31700,2.689,53,53,30.9,1.023,97.9,39.34,50.51,31.56,.76, , , , , , ,49.75,46.08,43.91,48.61,49.94, , , , , ,80,8.5,3.7,0, , , ,0,0,0,1,2,1,0,1,0,.74,53.4,27.1,5,4.3,.943,7.6,1.6,10.8,15.8,48.5,45.5,50.9,47.9,48.6,48.2,43.9,49.3,46.9,47.6,40.1,49.3,51.4,54.1,50.5,54.2,51,55.3,51.5,51.9,45.5,51.5,54,57.9,45.6,48.7,52.5,49.6,50,51.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,48.6,43.9,55.7,54.6,48.6,10.2,3.64,1,1,2,90,38.4
Netherlands Antilles,s.am,6, , , , , ,-.282271707550858,-.322830816995945,-.28,-.282271707550858, , , , , , , , ,87.2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,2,2, ,0,2,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
New Caledonia,ins.pac,3, , , , ,-.460093200562588,-.532535540638983,-.29049653159598,-.46,-.532535540638983, , , , , , , , ,101.6, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,2,2,0,0,0, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
