,tone_avg
391,-3.642384
392,-6.3492064
393,3.409091
394,1.0471205
395,-2.3255813
396,-1.1461318
397,-0.12062726
398,-4.712042
399,1.1111112
400,-3.3596838
401,0.8196721
402,1.0169492
403,-0.37453184
404,-1.7326733
405,-3.9682539
406,0.33670035
407,1.8292683
408,-5.6179776
409,0.95238096
410,-5.166052
411,-4.1666665
412,4.680851
413,-1.4705882
414,1.0
415,-1.4234875
416,-5.8479533
417,-1.9230769
418,1.5936255
419,1.8181819
420,-0.6968641
421,-5.687204
422,0.42918456
423,0.6968641
424,4.901961
425,0.9302326
426,0.921659
427,-2.074689
428,1.1278195
429,2.9739778
430,0.48076922
431,0.66815144
432,-1.2345679
433,-3.3783784
434,-2.074689
435,-5.2096567
436,2.9739778
437,-0.3960396
438,0.9302326
439,-4.6948357
440,-2.4
441,0.48076922
442,-1.2345679
443,-3.3783784
444,-3.3783784
445,-2.0833333
446,-2.2222223
447,0.0
448,5.7086616
449,-1.5730337
450,-2.8290284
451,-0.6976744
452,-5.2096567
453,-3.488372
454,0.66225165
455,0.0
456,4.137931
457,4.3103447
458,1.7064847
459,-5.2757792
460,-2.8037384
461,-1.7094017
462,6.6225166
463,1.0291595
464,-4.242424
465,-3.3639145
466,0.95238096
467,4.84375
468,-2.4615386
469,-3.6982248
470,0.78369904
471,1.8018018
472,1.2738854
473,-4.283054
474,-5.1478643
475,-5.1478643
476,-1.7241379
477,6.6929135
478,0.7712082
479,-0.44444445
480,-4.263566
481,-3.833866
482,-7.8313255
483,0.7246377
484,-2.9411764
485,2.3529413
486,-2.4242425
487,0.85470086
488,0.0
489,3.0791788
490,1.2820513
491,1.3986014
492,0.3649635
493,1.980198
494,-0.84889644
495,5.2242255
496,0.9107468
497,-0.6369427
498,-5.3892217
499,-2.2792022
500,-2.3809524
501,2.455871
502,-2.5641026
503,-1.9323672
504,-0.24570024
505,-4.7058825
506,-1.1904762
507,2.3622048
508,-5.0
509,1.1904762
510,0.72202164
511,-3.525641
512,-4.605263
513,5.681818
514,0.15128593
515,-1.242236
516,3.6231885
517,-1.8134716
518,-4.091888
519,-7.3954983
520,-0.091157705
521,-0.35460994
522,0.8
523,1.2448133
524,1.7751479
525,-0.7518797
526,-4.8736463
527,0.15822785
528,-1.7797552
529,-2.8656127
530,-0.16260162
531,-4.0774717
532,0.41379312
533,1.0989012
534,1.2345679
535,-2.635432
536,-4.169945
537,-0.2617801
538,-1.2755102
539,-1.7574693
540,-2.1861777
541,3.1809144
542,-4.8076925
543,-4.132231
544,1.6528926
545,4.1666665
546,1.1337868
547,-2.9629629
548,-10.344828
549,-3.030303
550,-3.6585367
551,-1.8518518
552,5.172414
553,-1.1299435
554,2.6143792
555,3.164557
556,4.9792533
557,0.0
558,-8.064516
559,3.1007752
560,0.0
561,-0.7633588
562,12.931034
563,0.0
564,0.5988024
565,2.4096386
566,5.084746
567,0.0
568,-0.7633588
569,1.4184397
570,12.931034
571,-2.173913
572,2.3648648
573,3.9256198
574,1.2048193
575,-1.2195122
576,1.2195122
577,1.2658228
578,1.2048193
579,3.7037036
580,1.3157895
581,0.0
582,1.2658228
583,2.5
584,1.2345679
585,1.3333334
586,2.5
587,0.0
588,1.2345679
589,2.2900763
590,-1.3745705
591,5.0
592,-1.2867647
593,-1.7361112
594,0.7564297
595,-0.3996004
596,-1.6666666
597,1.7953322
598,-2.2115386
599,-2.238806
600,1.3729978
601,-1.7366136
602,0.20703934
603,0.7153076
604,1.1990408
605,-0.34013605
606,1.2820513
607,-0.7125891
608,1.0204082
609,1.8691589
610,0.0
611,0.0
612,0.0
613,0.0
614,1.8691589
615,3.5714285
616,0.0
617,0.0
618,1.3059702
619,-1.8808777
620,-0.89605737
621,2.3703704
622,2.014652
623,-5.714286
624,-5.7654076
625,-1.8072289
626,-2.2130015
627,0.0
628,-4.07332
629,0.5847953
630,0.0
631,-1.9736842
632,-6.8965516
633,0.9756098
634,1.5797788
635,1.8145162
636,2.688172
637,-2.3255813
638,5.633803
639,3.7037036
640,8.0
641,1.3071896
642,-4.0650406
643,2.173913
644,-1.6949153
645,0.0
646,-5.263158
647,5.3738317
648,-1.9305019
649,-1.7857143
650,0.7493755
651,-8.585858
652,-11.538462
