,ISO,RANK_FREEDOM,COUNTRY,ABUSE_SCORE,PROGRESS_FREEDOM,Rank 2018,Score 2018,ZONE,culture,wld.reg1,gene.5ht,hpp.9,hpp.z9,hpp.z8xl,hpp.z8xt,hpp.z7,hpp.z6,hpp.bst,hpp.ind.bst,gdp.who,gdp.wb,gdp.fact,pop.dens,lat.popu,lat.cent,new.gini,sexratio,sex.rat,soi.tot,soi.male,soi.fem,soi.sexd,b5m.neu,b5m.ext,b5m.ope,b5m.agr,b5m.con,acqui.m,b5s.ext,b5s.agr,b5s.con,b5s.neu,b5s.ope,b5.2.ext,b5.2.ope,b5.2.neu,b5.2.agr,b5.2.con,ind.hof,ind.suh,col.gelf,col.pron,food.spc,food.plt,food.per,pat.lei,pat.sch,pat.fil,pat.lep,pat.thu,pat.mal,pat.trp,pat.tb,pat.den,conform,wvs.ind,wvs.obe,wvs.rac,wvs.rel1,hdi,lif.sat,sat.inq,left.wri,left.gen,b5fs.n1,b5fs.n2,b5fs.n3,b5fs.n4,b5fs.n5,b5fs.n6,b5fs.e1,b5fs.e2,b5fs.e3,b5fs.e4,b5fs.e5,b5fs.e6,b5fs.o1,b5fs.o2,b5fs.o3,b5fs.o4,b5fs.o5,b5fs.o6,b5fs.a1,b5fs.a2,b5fs.a3,b5fs.a4,b5fs.a5,b5fs.a6,b5fs.c1,b5fs.c2,b5fs.c3,b5fs.c4,b5fs.c5,b5fs.c6,b5fo.n1,b5fo.n2,b5fo.n3,b5fo.n4,b5fo.n5,b5fo.n6,b5fo.e1,b5fo.e2,b5fo.e3,b5fo.e4,b5fo.e5,b5fo.e6,b5fo.o1,b5fo.o2,b5fo.o3,b5fo.o4,b5fo.o5,b5fo.o6,b5fo.a1,b5fo.a2,b5fo.a3,b5fo.a4,b5fo.a5,b5fo.a6,b5fo.c1,b5fo.c2,b5fo.c3,b5fo.c4,b5fo.c5,b5fo.c6,b5avgn,b5avge,b5avgo,b5avga,b5avgc,b5avgsd,dom.viol,free.pr,free.cl,free.2,prop.rts,indx.dem
139,HND,146,Honduras,"48,53",-5,141,"45,23",Amériques,Honduras,6,,,,0.110728117011378,,0.15867836343534197,0.0294565538198989,0.11,0.15867836343534197,,2816,4300,,,,53.8,,99.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,,0,3,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apr 22,3,3,6,30,15. Mar
140,SWZ,147,Swaziland,"49,09",5,152,"51,46",Afrique,Swaziland,4,,14,0.08394310545715401,0.228101286685163,-0.0205065854266376,0.129324237279117,-0.00478992669569644,0.08394310545715401,0.08394310545715401,,,,,,,50.4,,94.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,1,2,3,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,12,50,0
141,VEN,148,Venezuela,"49,1",-5,143,"46,03",Amériques,Venezuela,6,,18,0.47666048843554704,0.530367651993469,0.7074165305450171,0.801761294912566,0.7797199738766609,0.47666048843554704,0.47666048843554704,6104,6139,6900,Jan 47,10,8,48.2,0.97,101,,,,,,,,,,,,,,,,,,,,,12,,May 53,1,,,,2,2,2,2,2,3,2,1,2,,44.6,50.7,15. May,08. May,0.772,06. Aug,03. Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jun 57,4,4,8,5,11. Aug
142,RUS,149,Russia,"50,31",-1,148,"49,96",EEAC,Russia,2,43.91,9,-0.393108903460739,-0.448122913889853,-0.5571900954592671,-0.6435034205209019,-0.582113436792941,-0.393108903460739,-0.393108903460739,10865,9821,12100,0.92,56,60,41.5,0.93,86.5,,,,,51.4,45.7,49.7,50.3,49.1,527,,,,,,,,,,,39,6,May 63,1,,,,0,0,0,2,3,1,0,3,0,,30. Sep,31.4,08. Jan,01. Mar,0.795,04. Apr,02. Jun,,,51.7,51.8,54.1,54,49.5,58.6,45.9,48.8,47.6,48,46.4,47.2,49.8,53.6,47.4,50.6,46.8,43.5,47,43.2,41.3,46.9,49.6,46,40.6,50.2,46,46.8,43.8,50.3,50,49.8,49.7,54.1,50.5,54,48,45.3,47.6,47.2,49,45.5,48.7,51.2,48.4,48.9,48.7,49.4,51.6,48.5,48.4,48.9,50.5,49.6,47.1,51,49.3,48.3,47.3,51.6,53.6,45.2,49.1,46.7,46.5,09. Sep,Apr 83,6,5,11,25,28
143,BGD,150,Bangladesh,"50,74",-4,146,"48,62",Asie-Pacifique,Bangladesh,2,,19,0.617129791961059,0.6883956184596689,0.579328436890255,0.6553749021642671,0.6089358490036451,0.617129791961059,0.617129791961059,2098,1825,2200,3.051,23,24,33.2,1.042,102.4,19.67,31. Jan,11. Aug,01. Sep,,,,,,,44.98,50.49,46.71,51.2,53.35,,,,,,20,,,,,,,3,0,3,2,2,3,0,3,3,,77.8,19. Jan,71.7,37,0.52,05. Jul,02. May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,8,25,17. Mar
144,SGP,151,Singapore,"51,41",0,151,"50,95",Asie-Pacifique,Singapore,3,71.24,16,0.30846264529476003,0.34114507846008396,0.23207789689067002,0.25851714216474103,0.145935129004198,0.30846264529476003,0.30846264529476003,28848,26711,30900,3.824,1,1,48.1,0.95,101.3,,,,,,,,,,,,,,,,,,,,,20,03. May,May 64,1,,,,0,1,3,2,1,3,0,3,3,,74.7,46.9,04. Jul,11. May,0.907,06. Sep,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apr 45,5,4,9,90,04. Jan
145,BRN,152,Brunei,"51,48",1,153,"51,48",Asie-Pacifique,Brunei,3,,13,-0.0140839770527607,0.117820818861509,-0.130787053250292,0.0032894169092265897,-0.151830550460569,-0.0140839770527607,-0.0140839770527607,,,,,,,,,107.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,1,2,3,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,11,,0
146,BLR,153,Belarus,"51,66",2,155,"52,59",EEAC,Belarus,1,,6,-0.7469113341414549,-0.706609957863272,-0.812159799914591,-0.775422293564259,-0.736018788676858,-0.7469113341414549,-0.7469113341414549,11907,6592,7800,1.671,54,53,27. Sep,0.945,87.4,,,,,,,,,,,,,,,,,,,,,,4,,,,,,0,0,0,1,2,1,0,2,0,,31. Jul,31.6,16. May,01. Jul,0.7859999999999999,04. Mar,02. May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,13,20,14. Aug
147,COD,154,Democratic Republic of the Congo,"51,71",0,154,"51,6",Afrique,Democratic Republic of the Congo,4,,22,0.9678328329332458,0.9433958490109929,0.9738693579839659,0.9468037370800659,0.948936156405411,0.9678328329332458,0.9678328329332458,382,633,,,5,,,0.9790000000000001,98.1,32.43,41.16,29.55,0.51,,,,,,,51.19,54.82,55.71,44.58,46.23,,,,,,,,,,,,,0,2,3,3,2,3,3,3,3,0.89,,,,,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jun 98,5,6,11,10,0
148,RWA,155,Rwanda,"52,43",1,156,"52,9",Afrique,Rwanda,4,,23,104.758.711.497.312,103.311.941.630.585,10.635.929.252.788.100,104.934.495.684.562,106.856.757.946.522,104.758.711.497.312,104.758.711.497.312,,1321,,,,,46.8,,93.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,3,2,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feb 83,6,5,11,30,0
149,IRQ,156,Iraq,"52,6",4,160,"56,56",MENA,Iraq,1,,18,0.5429117354920461,0.46535961438964396,0.495833123362616,0.4004766117985229,0.311554510243611,0.5429117354920461,0.5429117354920461,3554,,2900,1.804,33,33,,1.026,102.4,,,,,,,,,,,,,,,,,,,,,38,,,1,,,,2,1,1,3,3,3,0,3,2,,28. Aug,73.8,,18. Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jun 19,6,6,12,,0
150,TUR,157,Turkey,"52,81",0,157,"53,5",EEAC,Turkey,1,54.29,15,0.162571193957658,0.177017195705843,0.35406607425739206,0.39793220201242296,0.308586032159828,0.162571193957658,0.162571193957658,7688,7938,8900,1.965,41,39,43.6,1.032,101.1,36.06,54.16,21.71,01. Mar,51.4,53,48.2,51,51.4,517,51.59,47.89,48.71,49.88,52.7,104.59,100.9,101.28,98.89,100.11,37,Mar 85,May 88,1,,,,2,2,0,2,3,3,0,1,2,,12. Jul,38.7,33.9,13. Jun,0.75,05. Jun,3,02. Jun,9,47.9,50.7,50.9,53.1,49,51.6,47.7,52.8,48.8,50.7,50.2,53.1,49.8,53,50.5,52,47.4,51.5,47.2,53.5,51.6,45.5,44.3,48,49.5,47.3,50.2,52,48.2,51.4,47.8,51,49.6,53.2,50.6,50.7,51.4,50.9,51.8,51.1,51.1,52,49.6,49.6,51.1,49,45.9,52.4,51,54.5,54.5,46.7,49.9,51.6,50.9,51.6,52,51.1,49.9,50.2,50.9,50.3,50.8,48.5,50.4,11. Jan,05. Jul,3,3,6,50,22. Apr
151,KAZ,158,Kazakhstan,"52,82",0,158,"54,41",EEAC,Kazakhstan,2,,,,-0.21749900208586398,,-0.379933235602057,-0.43676926638901004,-0.22,-0.379933235602057,7730,7381,9100,0.758,,48,30. Apr,0.956,91.5,,,,,,,,,,,,,,,,,,,,,,,May 26,,,,,2,0,0,,2,2,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,11,25,09. Feb
152,BDI,159,Burundi,"52,89",0,159,"55,26",Afrique,Burundi,4,,23,106.101.877.647.741,10.482.300.354.981.700,10.787.035.444.711.500,106.661.423.592.256,108.871.507.172.165,106.101.877.647.741,106.101.877.647.741,,635,,,,,42.4,,95.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,2,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03. Sep,3,5,8,30,0
153,UZB,160,Uzbekistan,"53,52",5,165,"60,84",EEAC,Uzbekistan,1,,9,-0.43509453558932104,-0.355816059492122,-0.46136590154344104,-0.374514981140087,-0.43044796951671205,-0.43509453558932104,-0.43509453558932104,,1806,2400,,,,36.8,,98.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,2,2,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,14,20,03. Jul
154,TJK,161,Tajikistan,"54,02",-12,149,"50,06",EEAC,Tajikistan,2,,,,0.13329489628528698,,0.0209740768221151,-0.131198447228865,0.13,0.0209740768221151,,1071,1700,,,,32.6,,98.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,2,3,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,11,30,9
155,LBY,162,Libya,"55,77",0,162,"56,79",MENA,Libya,4,,14,0.0382305261122256,0.0371339443797322,0.214182822931281,0.23806562906829604,0.284229409059735,0.0382305261122256,0.0382305261122256,7703,,12700,0.535,33,25,,1.062,107.8,,,,,,,,,,,,,,,,,,,,,38,,,1,,,,2,2,2,2,2,2,0,1,1,,,,,,0.799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04. Nov,7,7,14,10,0
156,EGY,163,Egypt,"56,47",-2,161,"56,72",MENA,Egypt,4,,18,0.44194811493395797,0.49131623180418105,0.66836511035573,0.757131100410524,0.8898057922923329,0.44194811493395797,0.44194811493395797,4274,3638,4200,19.069.999.999.999.900,30,27,34.4,1.024,101.3,,,,,,,,,,,,,,,,,,,,,38,04. Apr,May 64,1,,,,2,3,2,2,3,2,0,1,3,,72.6,53.2,65.8,22. Apr,0.659,04. Aug,03. Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May 97,7,6,13,40,3
157,SOM,164,Somalia,"57,24",4,168,"63,04",Afrique,Somalia,4,,19,0.607226438598544,0.67725434592684,0.568187164357426,0.642642019269605,0.594080818959873,0.607226438598544,0.607226438598544,,,,,,,,,98.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,3,3,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04. Jan,7,7,14,,0
158,GNQ,165,Equatorial Guinea,"58,35",6,171,"66,47",Afrique,Equatorial Guinea,4,,22,0.957054737799924,0.9312704919860071,0.9617440009589789,0.9329461861943671,0.932769013705428,0.957054737799924,0.957054737799924,,,,,,,,,98.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,2,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,13,30,1
159,AZE,166,Azerbaijan,"59,13",-3,163,"59,73",EEAC,Azerbajan,1,,16,0.3271480103900589,0.222625423649909,0.3961569626833621,0.286560999593662,0.178652962671273,0.3271480103900589,0.3271480103900589,,4368,,,,,36.5,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,3,3,3,0,2,2,,,24. Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,11,25,11. May
160,BHR,167,Bahrain,"61,31",-1,166,"60,85",MENA,Bahrain,1,,14,0.0959233612671708,0.10203838392904599,0.136029232420113,0.148747239912676,0.0178702430434553,0.0959233612671708,0.0959233612671708,21441,19756,25300,3.028,26,26,,13.719.999.999.999.900,135.3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2,0,1,2,2,3,0,2,2,,,,,,0.846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,10,60,0
161,YEM,168,Yemen,"61,66",-1,167,"62,23",MENA,Yemen,1,,17,0.41245320182286893,0.31859376401182,0.349067272984792,0.23274421136672502,0.440175467075956,0.41245320182286893,0.41245320182286893,,846,2500,,,,37.7,,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,2,1,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05. May,5,5,10,30,04. Sep
162,CUB,169,Cuba,"63,81",3,172,"68,9",Amériques,Cuba,5,,,,,,-0.00457641057844497,0.0011470294718699,0,-0.00457641057844497,,,11000,,,,,,100.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,,2,2,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jul 21,7,7,14,10,0
