,ISO,RANK_FREEDOM,COUNTRY,ABUSE_SCORE,PROGRESS_FREEDOM,Rank 2018,Score 2018,ZONE,culture,wld.reg1,gene.5ht,hpp.9,hpp.z9,hpp.z8xl,hpp.z8xt,hpp.z7,hpp.z6,hpp.bst,hpp.ind.bst,gdp.who,gdp.wb,gdp.fact,pop.dens,lat.popu,lat.cent,new.gini,sexratio,sex.rat,soi.tot,soi.male,soi.fem,soi.sexd,b5m.neu,b5m.ext,b5m.ope,b5m.agr,b5m.con,acqui.m,b5s.ext,b5s.agr,b5s.con,b5s.neu,b5s.ope,b5.2.ext,b5.2.ope,b5.2.neu,b5.2.agr,b5.2.con,ind.hof,ind.suh,col.gelf,col.pron,food.spc,food.plt,food.per,pat.lei,pat.sch,pat.fil,pat.lep,pat.thu,pat.mal,pat.trp,pat.tb,pat.den,conform,wvs.ind,wvs.obe,wvs.rac,wvs.rel1,hdi,lif.sat,sat.inq,left.wri,left.gen,b5fs.n1,b5fs.n2,b5fs.n3,b5fs.n4,b5fs.n5,b5fs.n6,b5fs.e1,b5fs.e2,b5fs.e3,b5fs.e4,b5fs.e5,b5fs.e6,b5fs.o1,b5fs.o2,b5fs.o3,b5fs.o4,b5fs.o5,b5fs.o6,b5fs.a1,b5fs.a2,b5fs.a3,b5fs.a4,b5fs.a5,b5fs.a6,b5fs.c1,b5fs.c2,b5fs.c3,b5fs.c4,b5fs.c5,b5fs.c6,b5fo.n1,b5fo.n2,b5fo.n3,b5fo.n4,b5fo.n5,b5fo.n6,b5fo.e1,b5fo.e2,b5fo.e3,b5fo.e4,b5fo.e5,b5fo.e6,b5fo.o1,b5fo.o2,b5fo.o3,b5fo.o4,b5fo.o5,b5fo.o6,b5fo.a1,b5fo.a2,b5fo.a3,b5fo.a4,b5fo.a5,b5fo.a6,b5fo.c1,b5fo.c2,b5fo.c3,b5fo.c4,b5fo.c5,b5fo.c6,b5avgn,b5avge,b5avgo,b5avga,b5avgc,b5avgsd,dom.viol,free.pr,free.cl,free.2,prop.rts,indx.dem
163,IRN,170,Iran,"64,41",-6,164,"60,71",MENA,Iran,1,,12,-0.150464542429056,-0.314688698271597,0.0019008708223387102,-0.164017391104651,0.139441309527407,-0.150464542429056,-0.150464542429056,8367,7424,8900,16.019.999.999.999.900,36,32,44.5,1.024,103.9,,,,,48.4,48.2,50.1,48.6,47,528,,,,,,,,,,,41,,06. Mar,1,5,15,0.33333333333333304,2,2,1,3,3,0,0,1,0,,53.2,41.4,24. Feb,12,0.736,6,02. Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8,49.1,51.6,48.2,47,52.3,46.5,51.1,48.7,47.8,53,48.7,47.5,54.1,48.3,49.7,47.4,49,50.3,47.4,45,51.2,45.4,50.2,47.4,48.7,47.3,49.4,45.9,48.5,,,,,,,May 83,6,6,12,10,04. Feb
164,LAO,171,Laos,"64,49",-1,170,"66,41",Asie-Pacifique,Laos,2,,17,0.446501350873489,0.356897931693767,0.38737144066674,0.276520403003236,0.166938933315776,0.446501350873489,0.446501350873489,,1802,,,,,34.6,,99.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,3,2,3,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jun 79,7,6,13,10,0.5
165,SAU,172,Saudi Arabia,"65,88",-3,169,"63,13",MENA,Saudi Arabia,1,,14,0.0424447240270909,0.0418749170339557,0.21892379558550398,0.24348388353026604,0.290550705932033,0.0424447240270909,0.0424447240270909,15307,12321,13800,1.109,25,25,,1.314,123.5,,,,,,,,,,,,,,,,,,,,,38,,,1,,,,1,2,2,2,2,2,0,1,2,,70,66.6,37.7,14. Apr,0.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feb 56,7,6,13,40,0
166,DJI,173,Djibouti,"71,36",0,173,"70,77",Afrique,Djibouti,4,,18,0.49255962226805106,0.548254177555035,0.43918699598562105,0.49521325541611405,0.584234973132188,0.49255962226805106,0.49255962226805106,,3159,,,,,,,99.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,2,3,2,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,10,30,03. Jan
167,SYR,174,Syria,"71,78",3,177,"79,22",MENA,Syria,1,,16,0.296297784563208,0.327459610137088,0.361450458628155,0.40637149843615294,0.318431877987512,0.296297784563208,0.296297784563208,,3802,4700,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,2,3,3,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May 44,7,7,14,30,01. May
168,SDN,175,Sudan,"72,45",-1,174,"71,13",Afrique,Sudan,4,,23,100.436.977.367.101,112.404.059.788.337,10.149.734.163.139.400,115.325.487.864.849,135.195.020.023.663,100.436.977.367.101,100.436.977.367.101,,1726,1900,,,,,,101.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,2,3,2,1,3,3,,,,,,,,,04. Mar,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May 28,7,6,13,,01. May
169,VNM,176,Vietnam,"74,93",-1,175,"75,05",Asie-Pacifique,Vietnam,2,,19,0.608586909353414,0.6787848755260689,0.5697176939566551,0.6443911959544381,0.596121525092178,0.608586909353414,0.608586909353414,3298,2659,3100,2.418,11,16,37,0.983,96.8,,,,,,,,,,,,,,,,,,,,,20,,,,04. May,21,0.214285714285714,2,2,2,2,2,3,0,3,3,,56.4,56.3,32.2,01. Mar,0.7040000000000001,06. Jan,02. Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep 18,7,5,12,10,0
170,CHN,177,China,"78,92",-1,176,"78,29",Asie-Pacifique,China PRC,2,75.2,23,10.301.414.163.429.900,101.349.300.534.697,104.396.651.431.994,102.691.477.289.261,104.239.903.152.004,10.301.414.163.429.900,10.301.414.163.429.900,5581,5453,7600,2.151,31,35,47,1.057,107.7,,,,,46.5,46.6,50.1,48.6,48,517,,,,,,,,,,,20,2,05. Aug,1,,,,3,2,3,3,3,3,0,3,3,,74.1,19. Feb,14. Jun,0.7,0.755,,02. Jun,,,49.7,54.1,54,54.9,47.2,56.3,45.7,53.2,46.4,49.3,46.8,45.3,45.8,53.6,44.7,43.1,47.6,49.7,50,48.4,41.7,40.9,47.2,54.2,44,47.7,50.5,49.7,47.2,57.2,46.1,48.2,49.6,49.8,47.4,50,47.5,50,50.1,49.8,47.9,48,47.6,50.3,46.5,50.2,49.6,51.3,49.3,48.6,45.5,50.2,46.5,49.5,48.3,48.9,48,47.4,48.6,52,53.1,44.5,48.3,47.8,50.3,10. May,Jul 86,7,6,13,20,0
171,ERI,178,Eritrea,"80,26",1,179,"84,24",Afrique,Eritrea,4,,18,0.520556120934906,0.440209548012861,0.470683056985834,0.37173367879648606,0.440175467075956,0.520556120934906,0.520556120934906,,1025,,,,,,,96.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,2,2,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,13,10,0
172,PRK,179,North Korea,"83,4",1,180,"88,87",Asie-Pacifique,North Korea,2,,14,0.11877781991301001,-0.0117910406367717,0.0186824683362007,-0.14483842251738,-0.000337605788832398,0.11877781991301001,0.11877781991301,,,,,,,,,98.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,3,3,1,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02. Feb,7,7,14,5,172
173,TKM,180,Turkmenistan,"85,44",-2,178,"84,2",EEAC,Turkmenistan,1,,13,-0.00345576558104289,-0.009763133775194891,0.0242277147158724,0.0209740768221151,-0.131198447228865,-0.00345576558104289,-0.00345576558104289,,6991,,,,,40.8,,97.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,2,2,3,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,14,10,0
